Peak,Secondary Peak,Route Name,Climb Grade,Elevation Gain,Driving Distance (Miles),Driving Time (Hours),Typical Duration,Typical Season,Glaciated Peak,Rock Skills Required,Snow Angle,Rappelling Required,Crevasse Rescue Skills Required,Typical Gear,Notes,Guide Books,Phone Numbers
Mt. Rainier,,Sunset Ridge ,C,11400,150,3,2,summerautumn,TRUE,,over50,FALSE,TRUE,Snow,"Sunset Ridge is a long multi-day trip that ascends Rainier via a fairly non-technical route.  It's a nice alternative to the more popular Liberty Ridge. Being on the NW side of the mountain you can expect amazing sunsets, some steep climbing, and no crowds.",Climbs in the Cascades by Nelson and PotterfieldCascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,"Mt Rainer NP, Park HQ: 360-569-2211 ext 2334"
Mt. Rainier,,Kautz Glacier,D,10800,150,3,2,springsummer,TRUE,,over50,FALSE,TRUE,Snow,"The Kautz Glacier route is a popular choice for intermediate climbers, offering more technical challenges and a LOT fewer people then the popular Emmons and DC routes.","Climbs in the Cascades Volume 2 by Nelson and PotterfieldCascade Alpine Guide, Volume 1 by Fred Beckey","Mt Rainier NP, Park HQ: 360-569-2211 ext 2334 Mt Rainier NP (after hours) Lewis County S&R: 360-740-1105 "
Mt. Rainier,,Emmons Glacier ,C,10000,180,4,2,summerautumn,TRUE,,upto35,FALSE,TRUE,Snow,"The Emmons Glacier Route on Rainier is the second most climbed route on the mountain, and may well be the least technical.  It receives about 15% of the around 10,000 annual summit attempts. This is a long strenuous climb (10,000 vertical feet) and demands solid aerobic conditioning.   $30 climb fee per person.  See the NPS web site for the latest permit regulations.",Climbers Guide to the Cascade Volcanoes by Jeff Smoot Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey Climbs in the Cascades by Nelson and Potterfield,"Mt Rainier NP, Park HQ: 360-569-2211 ext 2334 Mt Rainier NP (after hours) Lewis County S&R: 360-740-1105"
Mt. Rainier,,Disappointment Cleaver,C,9000,150,3.5,2,summerautumn,TRUE,,upto35,FALSE,TRUE,Snow,"The Disappointment Cleaver route on Rainier is the most climbed route on the mountain, and is among the least technical.  With Rainier Mountaineering guiding the majority is their clients up this route, the Cleaver sees a lot the approximately 10,000 annual summit attempts.  This is a long strenuous climb (9,000 vertical feet) and demands solid aerobic conditioning.   $30 climb fee per person.  Call the NPS or see their web site for the latest permit regulations.  The Ingraham Glacier route is an alternative often used in early season when avy danger is high on the Cleaver route.  Try it on a weekday for more solitude.",Climbers Guide to the Cascade Volcanoes by Jeff Smoot Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey Climbs in the Cascades by Nelson and Potterfield,"Mt Rainier NP, Park HQ: 360-569-2211 ext 2334 Mt Rainier NP (after hours) Lewis County S&R: 360-740-1105"
Mt. Redoubt,,NE Face and South Slope,D,6200,330,6.5,2,summerautumn,TRUE,4,35to50,TRUE,,rockandsnow,"This route is an outstanding alpine climb, with steep snow and ice, good length, and completion on sound rock.  While the climb is in the more remote reaches of the North Cascades, the approach is from Canada - bring a passport.  Expect a long drive, a challenging approach, stunning scenery and a stiff route.",Classic Climbs of the Northwest by Alan Kearney Cascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey,"Nat. Park Service, Ranger Station Marblemount 206-873-4590"
Mt. Redoubt,Mt. Spickard,NE Face and South Slope,D,6200,330,6.5,2,summerautumn,TRUE,4,35to50,TRUE,,rockandsnow,"This route is an outstanding alpine climb, with steep snow and ice, good length, and completion on sound rock.  While the climb is in the more remote reaches of the North Cascades, the approach is from Canada - bring a passport.  Expect a long drive, a challenging approach, stunning scenery and a stiff route.",Classic Climbs of the Northwest by Alan Kearney Cascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey,"Nat. Park Service, Ranger Station Marblemount 206-873-4590"
Mt. Ritter,,SE Glacier,B,3850,745,14,2,summerautumn,TRUE,3,upto35,FALSE,FALSE,rockandsnow,"Base-camp for Mt Ritter is at Lake Ediza (9,300ft)which is about 6 miles from the trailhead in Agnew Meadows (8,300ft). The climb itself dominates the ridge just about Lake Ediza. Most of the route is class 2, and a number of parties have questioned the existence of any class 3 on this route. To be sure, it is usually an easy class 3 climb at most. Climbers should be prepared for icy conditions on the glacier.",,"RANGERS: Mammoth Lakes Welcome Center, (760) 924-5500"
Mt. Seattle,,Seattle Creek Basin,A,5750,200,4,2,summerautumn,FALSE,3,,FALSE,FALSE,Scramble,"A long approach, 19 miles along the North Fork of the Quinault river, leads to this remote peak in the heart of the Olympic National Park wilderness. Mt Seattle is located 1 _ miles West of the Low Divide. The approach from Seattle Creek basin to the West offers the most direct route to the Mt Noyes-Mt Seattle ridge. From the ridge the route ascends around the rotten East side of the first peak to the South peak, which is slightly higher.","Climbers Guide To The Olympic Mountains, 3rd or 4th Edition","Olympic National Park Headquarters 360-452-4501, Quinault Ranger Station, ONP 360-288-2444, Quinault Ranger Station, USFS 360-288-2525"
Mt. Shasta,,Clear Creek,B,7300,375,6.5,2,summerautumn,TRUE,,upto35,FALSE,FALSE,Snow,"This route ascend the Clear Creek drainage directly to the summit shoulder. There is little difficulty or danger here, except during avalanche conditions; routefinding is very straightforward. Early season ascents and ski descents are popular.", Climbing the Cascade Volcanoes by Jeff Smoot,The Fifth Season (Shasta City mountain shop) weather and climb conditions info line: (916) 221-5613
Mt. Shasta,,Bolam Glacier,C,7200,375,6.5,2,springsummer,TRUE,,35to50,,,Snow,"The relatively-uncrevassed Bolam Glacier is the best of Shasta's eight glaciers for skiing. Access from North Gate is short and straightforward, but in early season when that road is snow-covered it may be easier to take the longer approach from Bolam Creek. Several variations are possible on the upper portion, including the very steep Bolam Gully which leads to the upper portion of Hotlum-Bolam Ridge. For a continuous ski descent from the summit, it is best to follow gentler gullies which lead from the upper Bolam Glacier southeast to the summit plateau. ", The Mt. Shasta Book by Selters and Zanger,The Fifth Season (Shasta City mountain shop) weather and climb conditions info line: (916) 221-5613
Mt. Shasta,,West Face Gully,B,7400,375,7,2,springsummer,TRUE,,upto35,FALSE,FALSE,Snow,The West face Gully route is an alternate to the popular Avalanche Gulch south side route.  It has fewer people and about the same moderate technical requirements.,"The Mt. Shasta Book, Selters and Zanger",The Fifth Season (Shasta City mountain shop) weather and climb conditions info line: (916) 221-5613
Mt. Shasta,,Wintun Ridge,C,7400,375,6.5,2,summerautumn,TRUE,,35to50,FALSE,FALSE,Snow,"This route takes a seldom traveled but moderate line up the east face of this great volcano.  A nice alternative to the dog route on the south side.  Weather and fitness are often the deciding factors of success on Shasta.  If you want to tune up for Rainier, this is a good choice and often has better and more predictable weather.", The Mt. Shasta Book by Selters and Zanger,The Fifth Season (Shasta City mountain shop) weather and climb conditions info line: (916) 221-5613
Mt. Shasta,,Sargent's Ridge,C,7400,375,6.5,2,springsummer,TRUE,,35to50,FALSE,TRUE,Snow,"This is a less crowded alternative to the Avalanche Gulch route, and is a bit more technical with slightly steeper slopes and a few crevasses.  Weather and fitness are often the deciding factors of success on Shasta.  If you want to tune up for Rainier, Shasta is a good choice and often has better and more predictable weather.", The Mt. Shasta Book by Selters and Zanger,The Fifth Season (Shasta City mountain shop) weather and climb conditions info line: (916) 221-5613
Mt. Shasta,,Hotlum-Bolam Glacier,C,7200,375,6.5,2,summerautumn,TRUE,,35to50,FALSE,FALSE,Snow,"This is the easiest route on the north side of the peak, and is a less crowded alternative to the south facing Avalanche Gulch route.  Good high camps with running water are available to near 11,000 feet.  Weather and fitness are often the deciding factors of success on Shasta.  If you want to tune up for Rainier, this is a good choice and often has better and more predictable weather.  Finding your way in to the trailhead can be tricky - get a USFS map.", The Mt. Shasta Book by Selters and Zanger,The Fifth Season (Shasta City mountain shop) weather and climb conditions info line: (916) 221-5613
Mt. Shasta,,Casaval Ridge,C,7400,375,6.5,2,springsummer,TRUE,,35to50,FALSE,FALSE,Snow,"This is a line which ascends a ridge next to Avalanche Gulch, the most climbed route on the mountain.  We'll likely descend Avalanche Gulch, which has one of the classic glissades in the NW - plan on it if conditions are good.   Weather and fitness are often the deciding factors of success on Shasta.  If you want to tune up for Rainier, this is a good choice and often has better and more predictable weather.", The Mt. Shasta Book by Selters and Zanger,The Fifth Season (Shasta City mountain shop) weather and climb conditions info line: (916) 221-5613
Mt. Shasta,,Cascade Gulch,C,7400,375,6.5,2,summerautumn,TRUE,,35to50,FALSE,FALSE,Snow,"This route is a nice variation on the standard Avalanche Gulch route.  Ambitious climbers can also tag the summit of the subpeak Shastina on this route.  Weather and fitness are often the deciding factors of success on Shasta.  If you want to tune up for Rainier, this is a good choice and often has better and more predictable weather.", The Mt. Shasta Book by Selters and Zanger,The Fifth Season (Shasta City mountain shop) weather and climb conditions info line: (916) 221-5613
Mt. Shasta,,Avalanche Gulch,B,7400,375,6.5,2,summerautumn,TRUE,,upto35,FALSE,FALSE,Snow,"This is the most climbed route on the peak, taking a gentle line and with no crevasses.  Weather and fitness are often the deciding factors of success on Shasta.  If you want to tune up for Rainier, this is a good choice and often has better and more predictable weather.", The Mt. Shasta Book by Selters and Zanger,The Fifth Season (Shasta City mountain shop) weather and climb conditions info line: (916) 221-5613.
Mt. Shuksan,,Price Glacier,D,4300,320,6.5,2,summerautumn,TRUE,5,over50,TRUE,TRUE,rockandsnow,"Begin at the Nooksack Cirque trail and traverse through some times thick brush to a ridge on the south side of Price Lake. Ascend rock slabs up and to the right until you top the ridge to find bivouac sites, or continue up and right onto the glacier to bivouac on the saddle below Nooksack Tower. From the saddle drop down to pass under Nooksack Tower and traverse right and upward along the Price Glacier to the glacial plateau, negotiating your way around and through crevasses and bergschrunds. Cross the plateau to the summit pyramid. Descend via the Fischer Chimneys route to Lake Ann. ",Cascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey,"USFS Glacier Public Service Center: (360) 599-2714,ÌÄåÎÌÄå__ Whatcom County Sheriff: (206) 676-6711 "
Mt. Shuksan,,White Salmon Glacier ,C,5400,320,6.5,2,springsummer,TRUE,4,35to50,FALSE,TRUE,Snow,"The White Salmon Glacier is an alternative route to the Fischer Chimneys rouite on Shuksan.  It's a shorter and more direct approach, but can be well guarded by punishing brush.  Go early season (mid June in most normal snow years) for easiest passage.",Climbs in the Cascades Vol. 2 by Nelson and PotterfieldCascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey,"Mt. Baker National Forest, Sedro Woolley office 360-856-5700USFS Glacier Public Service Center: 360-599-2714 "
Mt. Shuksan,,Fisher Chimneys ,C,4300,320,6.5,2,summerautumn,TRUE,4,35to50,FALSE,TRUE,Snow,"Shuksan is located approximately six miles to the east of Mount Baker in the North Cascades.  Mssr. Beckey has this to say about this route:  ÌÄåÎÌÄå__ÌÄåÎÌÄå_ÌÄåÎÌÄå¢It is a clever and tortuous route, not technically difficult, but involving stimulating route finding.ÌÄåÎÌÄå__  (Ahh, that ÌÄåÎÌÄå__ÌÄåÎÌÄå_ÌÄåÎÌÄå¢stimulatingÌÄåÎÌÄå__ Beckey route finding!)  This route can be a challenge for those who find steep snow and class 3-4 rock with big exposure to be unnerving.  There have been some L O N G days spent on this peak by the unprepared.  Know the route as best you can and start early.",Climbs in the North Cascades by Nelson and Potterfield Cascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey,"USFS Glacier Public Service Center: (360) 599-2714,ÌÄåÎÌÄå__ Whatcom County Sheriff: (206) 676-6711 "
Mt. Shuksan,,Sulphide Glacier,C,6100,300,6.5,2,summerautumn,TRUE,4,upto35,FALSE,TRUE,Snow,"Mt. Shuksan is located approximately six miles to the east of Mount Baker in the North Cascades. While the Sulphide Glacier route is regarded as the easiest route, it can still be a challenge for those who find steep snow and class 3-4 rock with big exposure to be unnerving.  There have been some L O N G days spent on this peak by the unprepared. ",Climbs in the North Cascades by Nelson and Potterfield Cascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey Climbing Washington's Mountains by Jeff Smoot,USFS Glacier Public Service Center: 360-599-2714 USFS Sedro Wooley Mt. Baker Ranger Station: 206-856-5700
Mt. Skokomish,,Putvin Trail ,B,5100,175,3.5,1,summerautumn,FALSE,4,upto35,FALSE,FALSE,Scramble,From Summitpost:,"Climbers Guide to the Olympic Mountains , Olympic Mountain Rescue","Olympic National Park, 360-452-4501US Forest Service Hoodsport Ranger Station (360)877-5254"
